subject,nAlts,targetAlt,alt1,alt2,alt3,alt4,alt5,alt6,alt7,alt8,response,rt,accuracy,respDeviation
1,0,0.83084,0,0,0,0,0,0,0,0,0.84311,1.368,1,0.012275
1,0,0.26977,0,0,0,0,0,0,0,0,0.23755,3.4568,0,0.03222
1,0,0.088623,0,0,0,0,0,0,0,0,0.083971,3.303,1,0.0046516
1,0,0.58492,0,0,0,0,0,0,0,0,0.69085,1.5345,0,0.10593
1,0,0.39499,0,0,0,0,0,0,0,0,0.3561,2.3078,0,0.03889
1,0,0.72695,0,0,0,0,0,0,0,0,0.70487,1.4954,1,0.022072
1,0,0.82729,0,0,0,0,0,0,0,0,0.82152,1.3672,1,0.005767
1,0,0.90723,0,0,0,0,0,0,0,0,0.90025,1.3391,1,0.0069801
1,0,0.063519,0,0,0,0,0,0,0,0,0.047725,1.2778,1,0.015794
1,0,0.063519,0,0,0,0,0,0,0,0,0.041561,1.2279,1,0.021958
1,0,0.17514,0,0,0,0,0,0,0,0,0.020691,3.442,0,0.15445
1,0,0.46251,0,0,0,0,0,0,0,0,0.48143,2.6715,1,0.018922
1,0,0.70965,0,0,0,0,0,0,0,0,0.64635,1.5496,0,0.0633
1,0,0.0098663,0,0,0,0,0,0,0,0,0.98332,1.4017,0,0.026541
1,0,0.99237,0,0,0,0,0,0,0,0,0.02199,2.1879,0,0.029625
1,0,0.22892,0,0,0,0,0,0,0,0,0.21074,2.6339,1,0.018175
1,0,0.72469,0,0,0,0,0,0,0,0,0.69082,2.8328,0,0.033867
1,0,0.063519,0,0,0,0,0,0,0,0,0.052027,1.5643,1,0.011492
1,0,0.99237,0,0,0,0,0,0,0,0,0.02199,1.4504,0,0.029625
1,0,0.40731,0,0,0,0,0,0,0,0,0.41779,1.8118,1,0.010474
1,0,0.015331,0,0,0,0,0,0,0,0,0.05367,2.2079,0,0.038339
1,0,0.95032,0,0,0,0,0,0,0,0,0.9993,1.5134,0,0.048987
1,0,0.94838,0,0,0,0,0,0,0,0,0.91157,3.1062,0,0.036806
1,0,0.063519,0,0,0,0,0,0,0,0,0.039103,3.3376,1,0.024415
1,0,0.17514,0,0,0,0,0,0,0,0,0.40015,2.3711,0,0.22501
1,0,0.90723,0,0,0,0,0,0,0,0,0.88661,1.4546,1,0.020619
1,0,0.90723,0,0,0,0,0,0,0,0,0.91833,2.1973,1,0.011102
1,0,0.58714,0,0,0,0,0,0,0,0,0.57645,2.4022,1,0.010684
1,0,0.90723,0,0,0,0,0,0,0,0,0.86303,2.3076,0,0.044193
1,0,0.61464,0,0,0,0,0,0,0,0,0.67707,1.7304,0,0.062431
1,0,0.36002,0,0,0,0,0,0,0,0,0.38586,4.7837,1,0.025845
1,0,0.64496,0,0,0,0,0,0,0,0,0.64248,1.9961,1,0.0024799
1,0,0.31908,0,0,0,0,0,0,0,0,0.35934,2.8713,0,0.04026
1,0,0.90723,0,0,0,0,0,0,0,0,0.90766,1.6956,1,0.00043104
1,0,0.41488,0,0,0,0,0,0,0,0,0.39212,1.9777,1,0.022765
1,8,0.23893,0.094034,0.81939,0.23893,0.66157,0.9967,0.0070729,0.48577,0.30484,0.30778,1.8448,0,0.068845
1,8,0.81939,0.094034,0.81939,0.23893,0.66157,0.9967,0.0070729,0.48577,0.30484,0.6674,1.6243,0,0.15199
1,8,0.9967,0.094034,0.81939,0.23893,0.66157,0.9967,0.0070729,0.48577,0.30484,0.23066,1.1784,0,0.23395
1,8,0.094034,0.094034,0.81939,0.23893,0.66157,0.9967,0.0070729,0.48577,0.30484,0.087311,4.6892,1,0.0067232
1,8,0.094034,0.094034,0.81939,0.23893,0.66157,0.9967,0.0070729,0.48577,0.30484,0.087775,1.0241,1,0.0062587
1,8,0.81939,0.094034,0.81939,0.23893,0.66157,0.9967,0.0070729,0.48577,0.30484,0.81681,1.0047,1,0.0025753
1,8,0.094034,0.094034,0.81939,0.23893,0.66157,0.9967,0.0070729,0.48577,0.30484,0.015999,2.0475,0,0.078036
1,8,0.094034,0.094034,0.81939,0.23893,0.66157,0.9967,0.0070729,0.48577,0.30484,0.089963,2.9336,1,0.0040716
1,8,0.0070729,0.094034,0.81939,0.23893,0.66157,0.9967,0.0070729,0.48577,0.30484,0.98328,1.9272,0,0.023797
1,8,0.9967,0.094034,0.81939,0.23893,0.66157,0.9967,0.0070729,0.48577,0.30484,0.0052499,2.5173,0,0.0085455
1,8,0.23893,0.094034,0.81939,0.23893,0.66157,0.9967,0.0070729,0.48577,0.30484,0.23407,2.0961,1,0.0048671
1,8,0.30484,0.094034,0.81939,0.23893,0.66157,0.9967,0.0070729,0.48577,0.30484,0.30142,2.0882,1,0.0034186
