id,speed_condition,cue_condition,difficulty,position,cue_position,response,difference,response_time,cue_deflections,difficulty_id,cue_deflections_id,absolute_cue_id,deflection
3,0,1,45,1.7821843311480088,1.7821843311480088,1.874456749535856,0.09227241838784717,0.9312274395469939,0,3,4,1,1
3,0,1,15,1.2567383743615927,1.6058042247604587,1.159731779405032,-0.09700659495656083,0.5548578751129082,20,1,5,2,2
3,0,1,45,2.674983708083393,0.40605568049076446,2.6517787170683773,-0.023204991015015608,0.6409393709912418,-50,3,2,3,2
3,0,1,30,0.5101401189513748,1.3828047449485394,0.5658856917851498,0.055745572833775014,0.6190672995578529,50,2,6,3,2
3,0,1,30,2.835013992435344,2.835013992435344,2.453112117986708,-0.3819018744486362,0.4934725012310951,0,2,4,1,1
3,0,1,45,2.9119785954343214,0.9921164182405589,0.9007143936394835,1.1303284517949552,0.5959618232711006,-70,3,1,4,2
3,0,1,30,2.9853201726984286,2.9853201726984286,3.1084294610872285,0.12310928838879986,0.6037841661613453,0,2,4,1,1
3,0,1,15,2.5928080685350974,0.6729458913413349,2.626129763939764,0.033321695404666674,0.5785561864415393,-70,1,1,4,2
3,0,1,15,2.9877676836684808,1.0679055064747187,2.4848334242607053,-0.5029342594077755,0.6520757387571529,-70,1,1,4,2
3,0,1,15,0.47465982798341644,0.47465982798341644,0.5684585716144896,0.09379874363107321,0.6804006271424827,0,1,4,1,1
3,0,1,45,1.9355943129245148,2.2846601633233807,1.385557167051166,-0.5500371458733488,0.736577675710917,20,3,5,2,2
3,0,1,45,1.660987756019185,2.010053606418051,1.7188282737569363,0.05784051773775123,0.632974131758435,20,3,5,2,2
3,0,1,30,1.0096262671015914,1.0096262671015914,0.6991925897216693,-0.3104336773799221,0.5377943887932312,0,2,4,1,1
3,0,1,15,0.6731315272386889,1.89486200363472,0.6812982252878488,0.008166698049159926,0.5848522485694198,70,1,7,4,2
3,0,1,45,2.425069351792958,2.425069351792958,2.079610936391522,-0.3454584154014362,0.6699501002276178,0,3,4,1,1
3,0,1,30,0.71762090797506906,1.5902855339722337,0.03759982595391742,-0.6800210820211516,0.6527138448385933,50,2,6,3,2
3,0,1,30,2.6775112460495354,2.6775112460495354,2.9080930780753906,0.23058183202585525,0.5154495891576168,0,2,4,1,1
3,0,1,45,0.8634128037543034,0.8634128037543034,0.776181834491763,-0.08723096926254037,0.7019379392561198,0,3,4,1,1
3,0,1,15,1.951634224088226,2.824298850085391,1.94452314676045,-0.00711107732777605,0.9217063547912928,50,1,6,3,2
3,0,1,45,1.2018981993442086,1.2018981993442086,1.155589879840752,-0.046308319503456596,0.6155142928679018,0,3,4,1,1
3,0,1,45,1.322961941814082,2.5446924182101123,1.8459855759240678,0.5230236341099856,0.6440972569753587,70,3,7,4,2
3,0,1,30,1.4968523156192122,1.4968523156192122,1.6633691719682804,0.1665168563490682,0.6594949538189202,0,2,4,1,1
3,0,1,15,0.7810388737846163,0.7810388737846163,0.7292073771962109,-0.05183149658840547,0.511626804027829,0,1,4,1,1
3,0,1,45,0.1788629559998305,1.400593432395861,2.1682873119030597,-1.152168297686564,0.6267535213631572,70,3,7,4,2
3,0,1,30,1.7493053436670323,2.098371194065898,1.6756732655251303,-0.07363207814190198,0.6359244484863305,20,2,5,2,2
3,0,1,45,2.2588721496116535,2.2588721496116535,1.7573907148915375,-0.501481434720116,0.6426766086386383,0,3,4,1,1
3,0,1,30,2.5248165709861836,2.5248165709861836,2.5498531466596397,0.025036575673456074,0.5582535110462876,0,2,4,1,1
3,0,1,45,2.0041721320811865,2.0041721320811865,1.7031450604733813,-0.3010270716078052,0.5429774608736572,0,3,4,1,1
3,0,1,45,2.7045861295609352,2.7045861295609352,2.633529829342076,-0.07105630021885911,0.43917928224768554,0,3,4,1,1
3,0,1,30,2.8497465893561507,0.9298844121623882,2.0556047979089076,-0.7941417914472431,0.6469237712685345,-70,2,1,4,2
3,0,1,45,2.0807092201928765,2.0807092201928765,2.7260459695164165,0.64533674932354,0.6121506854250967,0,3,4,1,1
3,0,1,15,1.2926201426121136,1.2926201426121136,1.175851856383256,-0.11676828622885749,0.5961364401379812,0,1,4,1,1
3,0,1,15,2.2765288021543713,2.2765288021543713,2.478730202331459,0.20220140017708754,0.5409030001764646,0,1,4,1,1
3,0,1,15,1.703525546058162,2.576190172055327,1.563407298710992,-0.14011824734717004,0.6032747899747128,50,1,6,3,2
3,0,1,15,1.6209755405341661,1.6209755405341661,1.531114934281815,-0.08986060625235104,0.5881921426105499,0,1,4,1,1
3,0,1,30,2.435220639252844,2.435220639252844,2.383788333812182,-0.05143230544066224,0.5947139440037276,0,2,4,1,1
3,0,1,30,1.2743311419090961,1.2743311419090961,1.06252342482151,-0.21180771708758606,0.4994578254071545,0,2,4,1,1
3,0,1,30,1.8480057482536356,2.1970715986525016,2.104123747391161,0.2561179991375253,0.4238989205474778,20,2,5,2,2
3,0,1,15,1.2697309669099592,1.2697309669099592,0.8514177808761252,-0.41831318603383405,0.5080845761568213,0,1,4,1,1
3,0,1,30,0.5471798692427279,0.5471798692427279,0.5547191882326352,0.00753931898990734,1.5464119005552324,0,2,4,1,1
3,0,1,15,2.232652369707439,2.232652369707439,2.15675394341811,-0.07589842628932919,0.620520900283914,0,1,4,1,1
3,0,1,45,0.8276354625900022,1.7003000885871669,0.44184729711129567,-0.38578816547870654,0.799620831946202,50,3,6,3,2
3,0,1,45,0.36129513327731155,0.7103609836761771,0.7588195566645854,0.3975244233872739,0.6034383200563948,20,3,5,2,2
3,0,1,15,0.3320792481601891,0.3320792481601891,0.3955462639775935,0.06346701581740444,1.5065250350388608,0,1,4,1,1
3,1,1,30,1.2575609605423077,1.2575609605423077,1.8485253724525232,0.5909644119102155,0.5971829094742431,0,2,4,1,1
3,1,1,15,0.4769185257682311,1.3495831517653958,0.31441572261167927,-0.16250280315655186,0.5889916230098836,50,1,6,3,2
3,1,1,15,2.0761860779614,2.9488507039585645,2.9802175431691023,0.9040314652077024,0.2968089460501634,50,1,6,3,2
3,1,1,30,1.0798782164018004,2.301608692797831,0.6283107317072938,-0.4515674846945066,0.7143332730746027,70,2,7,4,2
3,1,1,45,2.839557133902594,2.839557133902594,2.5662621827490875,-0.27329495115350655,0.37709359310081675,0,3,4,1,1
3,1,1,15,1.357455980606555,1.357455980606555,1.2276204799497197,-0.12983550065683525,0.41711442393834025,0,1,4,1,1
3,1,1,45,2.5762314215347986,2.9252972719336645,2.5415424401880395,-0.03468898134675902,0.4476366515568156,20,3,5,2,2
3,1,1,15,2.2315237848276563,2.580589635226522,2.396879990881843,0.16535620605418666,0.36213628800265096,20,1,5,2,2
3,1,1,15,0.8533704046303336,1.2024362550292,0.8876048815047017,0.03423447687436809,0.23796429377640232,20,1,5,2,2
3,1,1,15,1.8911840266729956,3.1129145030690264,3.113822016996372,1.2226379903233766,0.32172218425682664,70,1,7,4,2
3,1,1,45,1.2731702600990626,1.2731702600990626,0.856552136242271,-0.41661812385679164,0.41610953004657375,0,3,4,1,1
3,1,1,30,1.1236741871268396,2.3454046635228707,2.3061361444457473,1.1824619573189077,0.39105524329488167,70,2,7,4,2
