Participant,isSpeed,isCued,jitter,jitterLevel,cueDeflections,cueOrientation,targetOrientation,response,deviation,absoluteDeviation,RT,points
100,0,0,15,1,819,-999,2.9744,0.029597,0.19676,0.19676,0.88485,-194
100,0,0,30,2,819,-999,2.1094,2.0092,-0.10019,0.10019,0.83895,149
100,0,0,15,1,819,-999,0.79714,0.81056,0.013425,0.013425,0.92471,182
100,0,0,15,1,819,-999,0.87963,0.76012,-0.11951,0.11951,0.76782,145
100,0,0,15,1,819,-999,1.9762,1.9548,-0.02141,0.02141,0.83433,177
100,0,0,45,3,819,-999,1.8712,1.7109,-0.1603,0.1603,0.78513,136
100,0,0,30,2,819,-999,0.8339,0.71246,-0.12144,0.12144,0.7862,144
100,0,0,15,1,819,-999,0.95216,0.81935,-0.13281,0.13281,0.74393,142
100,0,0,45,3,819,-999,1.3663,1.7733,0.40701,0.40701,1.3683,98
100,0,0,15,1,819,-999,1.4976,1.4761,-0.021445,0.021445,0.85042,177
100,0,0,45,3,819,-999,0.58808,0.82987,0.24179,0.24179,1.0414,122
100,0,0,15,1,819,-999,1.1512,1.1784,0.027202,0.027202,0.83993,174
100,0,0,30,2,819,-999,0.040753,0.033137,-0.0076163,0.0076163,0.72283,186
100,0,0,15,1,819,-999,1.2534,1.3266,0.073258,0.073258,0.71671,157
100,0,0,15,1,819,-999,1.3788,1.1395,-0.23925,0.23925,0.72213,122
100,0,0,45,3,819,-999,0.076937,2.7112,-0.50735,0.50735,0.86203,86
100,0,0,45,3,819,-999,2.8178,2.9195,0.10172,0.10172,1.002,149
100,0,0,45,3,819,-999,2.9823,0.029024,0.1883,0.1883,1.4932,-194
100,0,0,45,3,819,-999,2.383,2.7193,0.33636,0.33636,0.96195,107
100,0,0,30,2,819,-999,0.93593,1.4472,0.51124,0.51124,1.2178,86
100,0,0,30,2,819,-999,1.6294,1.8468,0.21746,0.21746,0.95258,126
100,0,0,45,3,819,-999,1.1087,0.8093,-0.29944,0.29944,1.2346,113
100,0,0,30,2,819,-999,1.9391,2.2137,0.27461,0.27461,0.99877,116
100,0,0,30,2,819,-999,2.6168,2.4871,-0.12973,0.12973,1.9994,143
100,0,0,15,1,819,-999,3.1136,0.076264,0.10429,0.10429,1.8597,-197
100,0,0,30,2,819,-999,2.5228,2.2854,-0.23742,0.23742,1.4478,122
100,0,0,15,1,819,-999,0.16182,0.22753,0.065711,0.065711,1.0362,159
100,0,0,30,2,819,-999,1.4864,1.9026,0.41627,0.41627,1.5352,97
100,0,0,45,3,819,-999,2.9271,2.6218,-0.30539,0.30539,2.2114,112
100,0,0,15,1,819,-999,1.447,1.4751,0.028037,0.028037,1.6321,173
100,0,0,45,3,819,-999,0.21437,2.7809,-0.57504,0.57504,1.2626,79
100,0,0,30,2,819,-999,0.019904,3.1117,-0.049786,0.049786,1.7317,164
100,0,0,15,1,819,-999,2.0805,1.9519,-0.12858,0.12858,0.80619,143
100,1,1,15,1,70,2.0246,0.80286,1.9761,1.1732,1.1732,0.57805,114
100,1,1,45,3,0,0.56857,0.56857,0.34168,-0.22689,0.22689,0.42298,162
100,1,1,45,3,0,0.75729,0.75729,0.66191,-0.095378,0.095378,0.45206,175
100,1,1,15,1,0,0.78154,0.78154,0.63683,-0.14471,0.14471,0.4635,170
100,1,1,30,2,50,1.5638,0.6911,1.6568,0.96569,0.96569,0.42249,122
100,1,1,15,1,50,1.8331,0.96042,1.818,0.85755,0.85755,0.53318,126
100,1,1,30,2,0,1.0433,1.0433,0.85073,-0.19255,0.19255,0.59098,165
100,1,1,45,3,0,1.88,1.88,1.8121,-0.067903,0.067903,0.52597,179
100,1,1,30,2,70,1.8786,0.65691,1.1097,0.45284,0.45284,0.77823,146
100,1,1,30,2,20,2.8495,2.5004,2.7957,0.29527,0.29527,0.54608,157
100,1,1,45,3,0,2.3579,2.3579,2.4497,0.09188,0.09188,0.5101,176
100,1,1,15,1,0,2.1975,2.1975,2.0895,-0.10796,0.10796,0.47462,174
100,1,1,30,2,20,2.204,1.8549,2.2335,0.37858,0.37858,0.44073,151
100,1,1,15,1,20,2.9054,2.5564,2.8517,0.29531,0.29531,0.41589,157
100,1,1,15,1,20,1.3376,0.98857,1.1634,0.1748,0.1748,0.506,167
100,1,1,15,1,-50,0.81875,3.0877,0.54583,0.59974,0.59974,0.45788,138
100,1,1,30,2,-70,0.8016,2.7215,2.6504,-0.071093,0.071093,0.73034,179
100,1,1,15,1,0,0.69877,0.69877,0.54769,-0.15109,0.15109,0.52411,169
100,0,1,45,3,0,1.4755,1.4755,1.5205,0.044981,0.044981,0.57562,166
100,0,1,45,3,0,0.68255,0.68255,0.58138,-0.10117,0.10117,0.59807,149
100,0,1,30,2,70,2.1314,0.90968,2.0491,1.1395,1.1395,0.55171,30
100,0,1,45,3,0,2.5236,2.5236,2.2922,-0.2314,0.2314,1.2311,123
100,0,1,45,3,50,1.217,0.34434,0.74901,0.40468,0.40468,1.2535,98
100,0,1,30,2,-50,0.46492,2.7338,2.7717,0.037839,0.037839,0.89815,169
100,0,1,15,1,0,1.7765,1.7765,1.7113,-0.065145,0.065145,0.6787,159
100,0,1,30,2,0,3.0554,3.0554,2.7832,-0.27223,0.27223,0.61605,117
100,0,1,15,1,0,0.30299,0.30299,0.17276,-0.13023,0.13023,0.59136,142
100,0,1,45,3,50,1.5704,0.69773,1.6629,0.96522,0.96522,0.95149,43
100,0,1,45,3,0,1.1251,1.1251,1.1116,-0.013497,0.013497,0.64573,181
100,0,1,30,2,20,0.43067,0.081605,0.15695,0.075343,0.075343,0.73421,156
100,0,1,45,3,0,0.97047,0.97047,0.80905,-0.16142,0.16142,0.64741,136
100,0,1,15,1,50,2.0351,1.1625,1.8423,0.67982,0.67982,0.7271,68
100,0,1,45,3,0,2.7676,2.7676,2.7483,-0.019214,0.019214,0.61348,178
100,0,1,45,3,0,1.7077,1.7077,1.714,0.0062853,0.0062853,0.64492,187
100,0,1,30,2,-70,0.21458,2.1344,2.3647,0.23023,0.23023,0.66973,123
100,0,1,45,3,20,1.5402,1.1911,1.2078,0.0167,0.0167,0.76535,179
100,0,1,30,2,70,1.7172,0.49547,1.5708,1.0753,1.0753,0.65704,35
100,0,1,15,1,0,0.040646,0.040646,0.25615,0.21551,0.21551,0.60098,126
100,0,1,30,2,0,0.015334,0.015334,0.10503,0.0897,0.0897,0.65413,152
100,0,1,15,1,0,2.6858,2.6858,2.7534,0.067572,0.067572,0.50716,159
100,0,1,30,2,0,1.6272,1.6272,1.5062,-0.12106,0.12106,0.51599,144
100,0,1,15,1,0,1.555,1.555,1.5109,-0.044141,0.044141,0.61412,166
100,1,1,45,3,50,1.4332,0.56058,1.2622,0.70161,0.70161,0.51971,133
100,1,1,15,1,-50,0.26557,2.5345,0.88507,1.4922,1.4922,0.81885,103
100,1,1,15,1,0,0.84793,0.84793,0.75028,-0.097642,0.097642,0.49906,175
100,1,1,45,3,0,0.59272,0.59272,0.58718,-0.0055421,0.0055421,0.45572,194
100,1,1,30,2,-50,0.488,2.7569,2.8045,0.047535,0.047535,0.73661,183
100,1,1,45,3,-20,0.057263,2.8498,0.12359,0.41539,0.41539,0.54962,149
100,1,1,15,1,-50,0.03691,2.3058,0.76916,-1.5367,1.5367,0.59235,101
100,1,1,30,2,0,2.5863,2.5863,2.25,-0.33631,0.33631,0.59303,154
100,1,1,45,3,0,1.5891,1.5891,1.7082,0.11905,0.11905,0.486,172
100,1,1,15,1,-70,0.21698,2.1368,2.1613,0.024492,0.024492,0.67818,188
100,1,1,30,2,0,0.33634,0.33634,0.48608,0.14974,0.14974,0.64592,169
100,1,1,15,1,-70,0.3209,2.2408,1.4051,-0.83562,0.83562,0.85483,127
100,1,1,30,2,50,0.91445,0.041788,3.1057,-0.0777,0.0777,1.0696,78
100,1,1,45,3,0,0.9492,0.9492,0.83364,-0.11556,0.11556,0.54987,173
100,1,1,15,1,0,1.3032,1.3032,1.2707,-0.032456,0.032456,0.68152,186
100,1,1,30,2,0,3.0772,3.0772,0.056154,0.12051,0.12051,0.59194,172
100,1,1,30,2,0,0.96696,0.96696,0.92172,-0.045243,0.045243,0.48892,183
100,1,1,45,3,0,0.89267,0.89267,0.80667,-0.085995,0.085995,0.52693,177
100,0,0,45,3,819,-999,3.0809,2.5947,-0.48625,0.48625,0.72319,89
100,0,0,15,1,819,-999,3.0174,0.63884,0.76307,0.76307,0.43798,-175
100,0,0,15,1,819,-999,2.0065,2.0728,0.06628,0.06628,0.58089,159
100,0,0,15,1,819,-999,0.64388,0.49959,-0.14428,0.14428,0.65925,139
100,0,0,45,3,819,-999,2.5065,2.7041,0.19757,0.19757,0.91567,129
100,0,0,30,2,819,-999,2.0353,1.8015,-0.23374,0.23374,0.67345,123
100,0,0,15,1,819,-999,2.1901,2.1819,-0.0081501,0.0081501,0.61993,186
100,0,0,15,1,819,-999,0.80771,0.91112,0.1034,0.1034,2.33,149
100,0,0,45,3,819,-999,0.86433,0.75562,-0.10871,0.10871,1.2509,147
100,0,0,15,1,819,-999,0.93951,1.0856,0.14606,0.14606,0.95676,139
100,0,0,30,2,819,-999,1.8801,1.9049,0.024799,0.024799,0.8957,175
100,0,0,45,3,819,-999,1.6292,1.8142,0.18503,0.18503,0.88417,131
100,0,0,45,3,819,-999,0.46974,0.80798,0.33824,0.33824,0.83532,107
100,0,0,15,1,819,-999,3.0499,2.8736,-0.17626,0.17626,0.75589,133
100,0,0,45,3,819,-999,2.5366,2.0949,-0.44167,0.44167,1.2926,94
100,0,0,30,2,819,-999,1.4084,1.3611,-0.047323,0.047323,1.0964,165
100,0,0,45,3,819,-999,2.3612,1.8422,-0.51901,0.51901,1.0804,85
100,0,0,45,3,819,-999,0.85405,0.60029,-0.25376,0.25376,1.3086,120
100,0,0,45,3,819,-999,2.9546,1.9639,-0.99074,0.99074,0.84205,41
100,0,0,15,1,819,-999,1.1555,1.1797,0.02414,0.02414,0.71824,175
100,0,0,15,1,819,-999,2.2899,2.347,0.057169,0.057169,0.74261,162
